date,long_return,n_long,short_return,total_return,tc_base,tc_stress
2015-06-30,-0.000354009900880845,5.0,-0.0,-0.000354009900880845,5e-05,0.00015
2015-07-31,0.0006952859216576645,5.0,-0.02258923906253707,-0.021893953140879406,0.0,0.0
2015-08-31,-0.0054081268344356795,5.0,0.060950406862439466,0.055542280028003786,0.0,0.0
2015-09-30,-0.008761311851842049,8.0,0.025515918428259732,0.016754606576417683,2.9999999999999997e-05,8.999999999999999e-05
2015-10-31,0.021097111661193213,14.0,-0.08505994697956565,-0.06396283531837244,5.9999999999999995e-05,0.00017999999999999998
2015-11-30,0.005140535941971787,50.0,-0.003654847924718485,0.0014856880172533019,0.00058,0.0017399999999999998
2015-12-31,-0.0193517956482406,50.0,0.01728240638290446,-0.0020693892653361433,0.00044,0.00132
2016-01-31,-0.03546785625456004,50.0,0.04978646448068702,0.014318608226126982,0.00011999999999999999,0.00035999999999999997
2016-02-29,0.0010753764552182282,50.0,0.0008258523276883922,0.0019012287829066204,0.0005600000000000001,0.00168
2016-03-31,0.07537225084746284,50.0,-0.06726587806045026,0.00810637278701258,0.0003,0.0009
2016-04-30,-0.020819419821658584,50.0,-0.003940894964872266,-0.02476031478653085,0.00022,0.00066
2016-05-31,0.03235072073468285,50.0,-0.017011917116215525,0.015338803618467324,0.00028000000000000003,0.00084
2016-06-30,0.01841333895890174,50.0,-0.0034759780745998725,0.014937360884301868,0.00026000000000000003,0.0007800000000000001
2016-07-31,0.034956416367498744,50.0,-0.03647113712371719,-0.0015147207562184462,0.00014000000000000001,0.00042
2016-08-31,0.0020167261722702948,50.0,-0.001197433208803389,0.0008192929634669058,0.00023999999999999998,0.0007199999999999999
2016-09-30,0.0063292077247014845,50.0,-5.8028778822105664e-05,0.006271178945879379,0.00017999999999999998,0.0005399999999999999
2016-10-31,-0.019323092814563254,50.0,0.017336940990704153,-0.001986151823859101,0.00016,0.00047999999999999996
2016-11-30,0.03692698352532717,50.0,-0.03683838508789994,8.859843742722862e-05,0.00023999999999999998,0.0007199999999999999
2016-12-31,0.0077274459004071094,50.0,-0.020271707021319196,-0.012544261120912087,0.00022,0.00066
2017-01-31,0.03678215748847699,50.0,-0.017894687239482288,0.018887470248994703,0.00023999999999999998,0.0007199999999999999
2017-02-28,0.03451709861681947,50.0,-0.039291473858839465,-0.004774375242019999,0.00023999999999999998,0.0007199999999999999
2017-03-31,0.021586292293504797,50.0,-0.0012502181416906843,0.020336074151814112,0.00032,0.0009599999999999999
2017-04-30,0.017743622403191602,50.0,-0.009925808363240307,0.007817814039951295,0.00011999999999999999,0.00035999999999999997
