ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
HHC,2023-03-31,2023-05-08,196289000.0,-22745000,9580132000.0,3582523000.0,-228776000.0,51895079.0
HHC,2023-06-30,2023-08-08,223316000.0,-19143000,9769415000.0,3568453000.0,-200283000.0,59303148.0
