period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding,eps
2024-09-30,2024-11-29,,,,,,,
2024-12-31,2025-03-01,42791000000.0,14005000000.0,4002814000000.0,344758000000.0,147758000000.0,,
2025-03-31,2025-05-30,45327000000.0,14643000000.0,4357856000000.0,351420000000.0,-251839000000.0,2824300000.0,5.07
2025-06-30,2025-08-29,44882000000.0,14987000000.0,4552482000000.0,356924000000.0,29547000000.0,2793700000.0,5.24
2025-09-30,2025-11-29,46430000000.0,14393000000.0,4560205000000.0,360212000000.0,-45214000000.0,2767600000.0,5.07
2025-12-31,2026-03-01,45796000000.0,13025000000.0,4424900000000.0,362438000000.0,119724000000.0,2740500000.0,4.63
2026-03-31,2026-05-30,,,,,,2720200000.0,5.94
