ticker,period_end,available_date,net_income,total_assets,operating_cf,capex,free_cash_flow
FFIV,2010-06-30,2010-08-06,40495000,1267273000.0,,,
FFIV,2010-09-30,2010-11-23,48235000,1362192000.0,86391000.0,2506000.0,83885000.0
FFIV,2010-12-31,2011-02-07,55663000,1475837000.0,103139000.0,5491000.0,97648000.0
FFIV,2011-03-31,2011-05-06,55575000,1538523000.0,,,
FFIV,2011-06-30,2011-08-05,62549000,1597134000.0,,,
FFIV,2011-09-30,2011-11-22,67610000,1568549000.0,121494000.0,9901000.0,111593000.0
FFIV,2011-12-31,2012-02-03,66492000,1698689000.0,131879000.0,5857000.0,126022000.0
FFIV,2012-03-31,2012-05-07,68641000,1758271000.0,,,
FFIV,2012-06-30,2012-08-07,72336000,1838066000.0,,,
FFIV,2012-09-30,2012-11-21,67717000,1911201000.0,148555000.0,11323000.0,137232000.0
FFIV,2012-12-31,2013-02-07,69493000,2037652000.0,144806000.0,7788000.0,137018000.0
FFIV,2013-03-31,2013-05-09,63412000,2065909000.0,,,
FFIV,2013-06-30,2013-08-08,68178000,2147803000.0,,,
FFIV,2013-09-30,2013-11-22,76231000,2230554000.0,147995000.0,5149000.0,142846000.0
FFIV,2013-12-31,2014-02-06,68048000,2214839000.0,158926000.0,4980000.0,153946000.0
FFIV,2014-03-31,2014-05-08,69641000,2166200000.0,,,
FFIV,2014-06-30,2014-08-07,79473000,2175485000.0,,,
FFIV,2014-09-30,2014-11-26,94021000,2184950000.0,169865000.0,7082000.0,162783000.0
FFIV,2014-12-31,2015-02-05,89076000,2236424000.0,186395000.0,10319000.0,176076000.0
FFIV,2015-03-31,2015-05-07,85729000,2221279000.0,,,
FFIV,2015-06-30,2015-07-29,93172000,2262351000.0,,,
FFIV,2015-09-30,2015-11-06,97037000,2312290000.0,183343000.0,18592000.0,164751000.0
FFIV,2015-12-31,2016-01-27,89716000,2316081000.0,203871000.0,13292000.0,190579000.0
FFIV,2016-03-31,2016-04-27,75415000,2242140000.0,,,
FFIV,2016-06-30,2016-07-27,91789000,2253783000.0,,,
FFIV,2016-09-30,2016-11-04,108935000,2306323000.0,204070000.0,17579000.0,186491000.0
FFIV,2016-12-31,2017-02-01,94218000,2397095000.0,189312000.0,14133000.0,175179000.0
FFIV,2017-03-31,2017-05-10,93138000,2387917000.0,,,
FFIV,2017-06-30,2017-08-02,97662000,2418572000.0,,,
FFIV,2017-09-30,2017-11-03,135743000,2480800000.0,213065000.0,7506000.0,205559000.0
FFIV,2017-12-31,2018-02-02,88429000,2493739000.0,189957000.0,6491000.0,183466000.0
FFIV,2018-03-31,2018-05-02,109636000,2517146000.0,,,
FFIV,2018-06-30,2018-08-01,122743000,2561066000.0,,,
FFIV,2018-09-30,2018-11-21,132881000,2605476000.0,204305000.0,17391000.0,186914000.0
FFIV,2018-12-31,2019-02-01,130905000,2891896000.0,197858000.0,21046000.0,176812000.0
FFIV,2019-03-31,2019-05-03,116087000,2990236000.0,,,
FFIV,2019-06-30,2019-08-02,85905000,3177275000.0,,,
FFIV,2019-09-30,2019-11-15,94837000,3390275000.0,206086000.0,20534000.0,185552000.0
FFIV,2019-12-31,2020-02-05,98527000,3875360000.0,144012000.0,22304000.0,121708000.0
FFIV,2020-03-31,2020-05-06,61379000,4440977000.0,,,
FFIV,2020-06-30,2020-08-05,69872000,4573357000.0,,,
FFIV,2020-09-30,2020-11-19,77663000,4677920000.0,175904000.0,12083000.0,163821000.0
FFIV,2020-12-31,2021-02-05,87678000,4899339000.0,137363000.0,4697000.0,132666000.0
FFIV,2021-03-31,2021-05-06,43241000,4519192000.0,,,
FFIV,2021-06-30,2021-08-05,89604000,4785121000.0,,,
FFIV,2021-09-30,2021-11-16,110718000,4997280000.0,197053000.0,7117000.0,189936000.0
FFIV,2021-12-31,2022-02-04,93559000,5086908000.0,90366000.0,10564000.0,79802000.0
FFIV,2022-03-31,2022-05-06,56236000,5077173000.0,,,
FFIV,2022-06-30,2022-08-05,83019000,5021289000.0,,,
FFIV,2022-09-30,2022-11-15,89346000,5276194000.0,154355000.0,8507000.0,145848000.0
FFIV,2022-12-31,2023-02-03,72402000,5085568000.0,157631000.0,13104000.0,144527000.0
FFIV,2023-03-31,2023-05-05,81436000,5223251000.0,,,
FFIV,2023-06-30,2023-08-04,88976000,5119156000.0,,,
FFIV,2023-09-30,2023-11-14,152134000,5248333000.0,189801000.0,15382000.0,174419000.0
FFIV,2023-12-31,2024-02-05,138382000,5348855000.0,165318000.0,9048000.0,156270000.0
FFIV,2024-03-31,2024-05-06,119021000,5384670000.0,,,
FFIV,2024-06-30,2024-08-06,144079000,5414450000.0,,,
FFIV,2024-09-30,2024-11-18,165296000,5613004000.0,246505000.0,6060000.0,240445000.0
FFIV,2024-12-31,2025-02-07,166445000,5900641000.0,202782000.0,8073000.0,194709000.0
FFIV,2025-03-31,2025-05-06,145530000,5906577000.0,,,
FFIV,2025-06-30,2025-08-06,189912000,6113499000.0,,,
FFIV,2025-09-30,2025-11-25,190493000,6319492000.0,208068000.0,16141000.0,191927000.0
FFIV,2025-12-31,2026-02-05,180054000,6291682000.0,159211000.0,9720000.0,149491000.0
