ticker,period_end,available_date,net_income,total_assets,operating_cf
T,2009-06-30,2009-08-05,3198000000,267918000000.0,
T,2009-09-30,2009-11-05,3192000000,266568000000.0,
T,2009-12-31,2010-02-25,3019000000,268752000000.0,8964000000.0
T,2010-03-31,2010-05-06,2475000000,265701000000.0,7253000000.0
T,2010-06-30,2010-08-06,4023000000,267556000000.0,
T,2010-09-30,2010-11-05,12339000000,269252000000.0,
T,2010-12-31,2011-03-01,1027000000,268488000000.0,9643000000.0
T,2011-03-31,2011-05-06,3408000000,268085000000.0,7732000000.0
T,2011-06-30,2011-08-05,3591000000,272014000000.0,
T,2011-09-30,2011-11-03,3623000000,277653000000.0,
T,2011-12-31,2012-02-24,-6678000000,270344000000.0,7498000000.0
T,2012-03-31,2012-05-04,3584000000,269356000000.0,7796000000.0
T,2012-06-30,2012-08-03,3902000000,266294000000.0,
T,2012-09-30,2012-11-02,3635000000,266849000000.0,
T,2012-12-31,2013-02-22,-3857000000,272315000000.0,10232000000.0
T,2013-03-31,2013-05-03,3700000000,270994000000.0,8199000000.0
T,2013-06-30,2013-08-02,3822000000,272093000000.0,
T,2013-09-30,2013-11-01,3814000000,274599000000.0,
T,2013-12-31,2014-02-21,6913000000,277787000000.0,7917000000.0
T,2014-03-31,2014-05-02,3652000000,285340000000.0,8799000000.0
T,2014-06-30,2014-08-01,3547000000,293466000000.0,
T,2014-09-30,2014-11-10,3002000000,287939000000.0,
T,2014-12-31,2015-02-20,-3977000000,292829000000.0,5745000000.0
T,2015-03-31,2015-05-05,3200000000,308028000000.0,6738000000.0
T,2015-06-30,2015-08-07,3044000000,326489000000.0,
T,2015-09-30,2015-11-06,2994000000,399989000000.0,
T,2015-12-31,2016-02-18,4006000000,402672000000.0,9185000000.0
T,2016-03-31,2016-05-05,3803000000,403638000000.0,7900000000.0
T,2016-06-30,2016-08-04,3408000000,401808000000.0,
T,2016-09-30,2016-11-03,3328000000,402975000000.0,
T,2017-03-31,2017-05-04,3469000000,411903000000.0,
T,2017-06-30,2017-08-03,3915000000,420795000000.0,
T,2017-09-30,2017-11-03,3029000000,443865000000.0,
T,2017-12-31,2018-02-20,19037000000,444097000000.0,10678000000.0
T,2018-03-31,2018-05-03,4662000000,446343000000.0,8947000000.0
T,2018-06-30,2018-08-02,5132000000,534691000000.0,
T,2018-09-30,2018-11-02,4718000000,534870000000.0,
T,2018-12-31,2019-02-20,4858000000,531864000000.0,12080000000.0
T,2019-03-31,2019-05-06,4096000000,548384000000.0,11052000000.0
T,2019-06-30,2019-08-05,3713000000,546914000000.0,
T,2019-09-30,2019-11-05,3700000000,548796000000.0,
T,2019-12-31,2020-02-20,2394000000,551669000000.0,11943000000.0
T,2020-03-31,2020-05-06,4610000000,545354000000.0,8866000000.0
T,2020-06-30,2020-08-05,1281000000,547898000000.0,
T,2020-09-30,2020-11-05,2816000000,538553000000.0,
T,2020-12-31,2021-02-25,-13883000000,525761000000.0,10082000000.0
T,2021-03-31,2021-05-06,7550000000,546985000000.0,9927000000.0
T,2021-06-30,2021-08-05,1570000000,544710000000.0,
T,2021-09-30,2021-11-04,5918000000,547107000000.0,
T,2021-12-31,2022-02-16,5043000000,551622000000.0,
T,2022-03-31,2022-05-03,4810000000,577195000000.0,5732000000.0
T,2022-06-30,2022-08-04,4157000000,426433000000.0,
T,2022-09-30,2022-11-03,6026000000,426463000000.0,
T,2022-12-31,2023-02-13,-23517000000,402853000000.0,
T,2023-03-31,2023-05-01,4228000000,400873000000.0,6678000000.0
T,2023-06-30,2023-07-27,4489000000,408453000000.0,
T,2023-09-30,2023-10-31,3495000000,406698000000.0,
T,2023-12-31,2024-02-23,2188000000,407060000000.0,11378000000.0
T,2024-03-31,2024-05-02,3445000000,399428000000.0,7547000000.0
T,2024-06-30,2024-07-25,3597000000,398026000000.0,
T,2024-09-30,2024-10-29,-174000000,393719000000.0,
T,2024-12-31,2025-02-12,4080000000,394795000000.0,11896000000.0
T,2025-03-31,2025-04-29,4351000000,397467000000.0,9049000000.0
T,2025-06-30,2025-07-24,4500000000,405491000000.0,
T,2025-09-30,2025-10-31,9314000000,423213000000.0,
T,2025-12-31,2026-02-09,3788000000,420198000000.0,11320000000.0
