ticker,period_end,available_date,net_income,total_assets,operating_cf,capex,free_cash_flow
ADM,2009-09-30,2009-11-06,496000000,31861000000.0,1992000000.0,497000000.0,1495000000.0
ADM,2009-12-31,2010-02-08,567000000,33529000000.0,,,
ADM,2010-03-31,2010-05-10,421000000,32326000000.0,,,
ADM,2010-06-30,2010-08-30,446000000,31548000000.0,-91000000.0,377000000.0,-468000000.0
ADM,2010-09-30,2010-11-08,345000000,36036000000.0,-871000000.0,335000000.0,-1206000000.0
ADM,2010-12-31,2011-02-09,732000000,42610000000.0,,,
ADM,2011-03-31,2011-05-10,578000000,43763000000.0,,,
ADM,2011-06-30,2011-08-25,381000000,42193000000.0,2409000000.0,334000000.0,2075000000.0
ADM,2011-09-30,2011-11-07,460000000,41448000000.0,2087000000.0,443000000.0,1644000000.0
ADM,2011-12-31,2012-02-06,80000000,41516000000.0,,,
ADM,2012-03-31,2012-05-09,399000000,41858000000.0,-783000000.0,341000000.0,-1124000000.0
ADM,2012-06-30,2012-08-27,284000000,41553000000.0,637000000.0,284000000.0,353000000.0
ADM,2012-09-30,2012-11-05,182000000,44760000000.0,483000000.0,252000000.0,231000000.0
ADM,2013-03-31,2013-05-07,269000000,43226000000.0,357000000.0,248000000.0,109000000.0
ADM,2013-06-30,2013-08-07,223000000,40238000000.0,,,
ADM,2013-09-30,2013-11-01,476000000,41448000000.0,,,
ADM,2013-12-31,2014-02-26,374000000,43752000000.0,357000000.0,254000000.0,103000000.0
ADM,2014-03-31,2014-05-02,267000000,41444000000.0,-358000000.0,188000000.0,-546000000.0
ADM,2014-06-30,2014-08-05,533000000,39930000000.0,,,
ADM,2014-09-30,2014-11-05,747000000,41821000000.0,,,
ADM,2014-12-31,2015-02-20,701000000,44027000000.0,538000000.0,289000000.0,249000000.0
ADM,2015-03-31,2015-05-06,493000000,41715000000.0,45000000.0,244000000.0,-199000000.0
ADM,2015-06-30,2015-08-04,386000000,40568000000.0,,,
ADM,2015-09-30,2015-11-03,252000000,40877000000.0,,,
ADM,2015-12-31,2016-02-19,718000000,40157000000.0,1383000000.0,306000000.0,1077000000.0
ADM,2016-03-31,2016-05-03,230000000,39681000000.0,23000000.0,180000000.0,-157000000.0
ADM,2016-06-30,2016-08-02,284000000,40098000000.0,,,
ADM,2016-09-30,2016-11-01,341000000,39853000000.0,,,
ADM,2016-12-31,2017-02-17,424000000,39769000000.0,319000000.0,261000000.0,58000000.0
ADM,2017-03-31,2017-05-02,339000000,39630000000.0,409000000.0,200000000.0,209000000.0
ADM,2017-06-30,2017-08-01,276000000,37817000000.0,,,
ADM,2017-09-30,2017-10-31,192000000,38969000000.0,,,
ADM,2017-12-31,2018-02-16,788000000,39963000000.0,56000000.0,353000000.0,-297000000.0
ADM,2018-03-31,2018-05-01,393000000,41100000000.0,-3574000000.0,196000000.0,-3770000000.0
ADM,2018-06-30,2018-07-31,566000000,38755000000.0,,,
ADM,2018-09-30,2018-11-06,536000000,39664000000.0,,,
ADM,2018-12-31,2019-02-19,315000000,40833000000.0,-1104000000.0,287000000.0,-1391000000.0
ADM,2019-03-31,2019-04-26,233000000,43151000000.0,-2035000000.0,198000000.0,-2233000000.0
ADM,2019-06-30,2019-08-01,235000000,42616000000.0,,,
ADM,2019-09-30,2019-10-31,407000000,41804000000.0,,,
ADM,2019-12-31,2020-02-18,504000000,43997000000.0,-1813000000.0,262000000.0,-2075000000.0
ADM,2020-03-31,2020-05-01,391000000,48395000000.0,-655000000.0,194000000.0,-849000000.0
ADM,2020-06-30,2020-07-30,469000000,44341000000.0,,,
ADM,2020-09-30,2020-10-30,225000000,44795000000.0,,,
ADM,2020-12-31,2021-02-18,687000000,49719000000.0,-870000000.0,265000000.0,-1135000000.0
ADM,2021-03-31,2021-04-28,689000000,51478000000.0,298000000.0,174000000.0,124000000.0
ADM,2021-06-30,2021-07-27,712000000,50958000000.0,,,
ADM,2021-09-30,2021-10-26,526000000,52298000000.0,,,
ADM,2021-12-31,2022-02-17,782000000,56136000000.0,742000000.0,455000000.0,287000000.0
ADM,2022-03-31,2022-04-26,1054000000,64866000000.0,-1206000000.0,217000000.0,-1423000000.0
ADM,2022-06-30,2022-07-26,1236000000,61828000000.0,,,
ADM,2022-09-30,2022-10-25,1031000000,58304000000.0,,,
ADM,2022-12-31,2023-02-14,1019000000,59774000000.0,130000000.0,478000000.0,-348000000.0
ADM,2023-03-31,2023-04-25,1170000000,58802000000.0,-1610000000.0,327000000.0,-1937000000.0
ADM,2023-06-30,2023-07-25,927000000,55499000000.0,,,
ADM,2023-09-30,2023-10-24,821000000,55093000000.0,,,
ADM,2023-12-31,2024-03-12,565000000,54631000000.0,2569000000.0,439000000.0,2130000000.0
ADM,2024-03-31,2024-04-30,729000000,54831000000.0,700000000.0,328000000.0,372000000.0
ADM,2024-06-30,2024-07-30,486000000,52698000000.0,,,
ADM,2024-09-30,2024-11-18,18000000,52199000000.0,,,
ADM,2024-12-31,2025-02-20,567000000,53271000000.0,322000000.0,492000000.0,-170000000.0
ADM,2025-03-31,2025-05-06,295000000,53402000000.0,-342000000.0,291000000.0,-633000000.0
ADM,2025-06-30,2025-08-05,219000000,51996000000.0,,,
ADM,2025-09-30,2025-11-04,108000000,51918000000.0,,,
ADM,2025-12-31,2026-02-17,456000000,52389000000.0,-313000000.0,356000000.0,-669000000.0
