ticker,period_end,available_date,net_income,total_assets,operating_cf
VZ,2009-03-31,2010-04-28,1645000000,202352000000.0,6622000000.0
VZ,2009-06-30,2009-07-30,1483000000,224999000000.0,
VZ,2009-09-30,2009-10-29,1176000000,226404000000.0,
VZ,2009-12-31,2010-02-26,-653000000,227251000000.0,8447000000.0
VZ,2010-03-31,2010-04-28,409000000,227347000000.0,7117000000.0
VZ,2010-06-30,2010-07-29,-198000000,226251000000.0,
VZ,2010-09-30,2010-10-28,881000000,220852000000.0,
VZ,2010-12-31,2011-02-28,1457000000,220005000000.0,8150000000.0
VZ,2011-03-31,2011-04-28,1439000000,228108000000.0,5035000000.0
VZ,2011-06-30,2011-07-28,1609000000,223756000000.0,
VZ,2011-09-30,2011-10-25,1379000000,228032000000.0,
VZ,2011-12-31,2012-02-24,-2023000000,230461000000.0,8268000000.0
VZ,2012-03-31,2012-04-26,1686000000,222921000000.0,5957000000.0
VZ,2012-06-30,2012-07-30,1825000000,226072000000.0,
VZ,2012-09-30,2012-10-25,1593000000,231082000000.0,
VZ,2012-12-31,2013-02-26,-4229000000,225222000000.0,6728000000.0
VZ,2013-03-31,2013-04-25,1952000000,226186000000.0,7531000000.0
VZ,2013-06-30,2013-07-25,2246000000,223346000000.0,
VZ,2013-09-30,2013-10-24,2232000000,276675000000.0,
VZ,2013-12-31,2014-02-27,5067000000,274098000000.0,10431000000.0
VZ,2014-03-31,2014-04-29,3947000000,221562000000.0,7139000000.0
VZ,2014-06-30,2014-07-29,4214000000,224427000000.0,
VZ,2014-09-30,2014-10-28,3695000000,226293000000.0,
VZ,2014-12-31,2015-02-23,-2231000000,232708000000.0,7474000000.0
VZ,2015-03-31,2015-04-28,4219000000,235790000000.0,10169000000.0
VZ,2015-06-30,2015-07-28,4231000000,240753000000.0,
VZ,2015-09-30,2015-10-27,4038000000,242073000000.0,
VZ,2015-12-31,2016-02-23,5391000000,244640000000.0,10504000000.0
VZ,2016-03-31,2016-04-28,4310000000,244587000000.0,7419000000.0
VZ,2016-06-30,2016-07-29,702000000,231870000000.0,
VZ,2016-09-30,2016-10-26,3620000000,239498000000.0,
VZ,2016-12-31,2017-02-21,4495000000,244180000000.0,5086000000.0
VZ,2017-03-31,2017-04-27,3450000000,246731000000.0,1681000000.0
VZ,2017-06-30,2017-08-03,4362000000,252978000000.0,
VZ,2017-09-30,2017-10-26,3620000000,254682000000.0,
VZ,2017-12-31,2018-02-23,18669000000,257143000000.0,8084000000.0
VZ,2018-03-31,2018-05-01,4545000000,264516000000.0,6648000000.0
VZ,2018-06-30,2018-07-31,4120000000,263303000000.0,
VZ,2018-09-30,2018-10-30,4924000000,265562000000.0,
VZ,2018-12-31,2019-02-15,1939000000,264829000000.0,8095000000.0
VZ,2019-03-31,2019-04-26,5032000000,283947000000.0,7081000000.0
VZ,2019-06-30,2019-08-08,3944000000,283108000000.0,
VZ,2019-09-30,2019-10-30,5194000000,284875000000.0,
VZ,2019-12-31,2020-02-21,5095000000,291727000000.0,8998000000.0
VZ,2020-03-31,2020-04-27,4156000000,294500000000.0,8824000000.0
VZ,2020-06-30,2020-07-28,4700000000,293259000000.0,
VZ,2020-09-30,2020-10-27,4357000000,296994000000.0,
VZ,2020-12-31,2021-02-25,4588000000,316481000000.0,9296000000.0
VZ,2021-03-31,2021-04-27,5245000000,345573000000.0,9694000000.0
VZ,2021-06-30,2021-07-28,5800000000,349190000000.0,
VZ,2021-09-30,2021-10-26,6407000000,353457000000.0,
VZ,2021-12-31,2022-02-11,4613000000,366596000000.0,8377000000.0
VZ,2022-03-31,2022-04-27,4580000000,365716000000.0,6821000000.0
VZ,2022-06-30,2022-07-28,5199000000,370147000000.0,
VZ,2022-09-30,2022-10-25,4900000000,375090000000.0,
VZ,2022-12-31,2023-02-10,6577000000,379680000000.0,8942000000.0
VZ,2023-03-31,2023-04-27,4909000000,377716000000.0,8289000000.0
VZ,2023-06-30,2023-07-28,4648000000,379955000000.0,
VZ,2023-09-30,2023-10-26,4762000000,384830000000.0,
VZ,2023-12-31,2024-02-09,-2705000000,380255000000.0,8677000000.0
VZ,2024-03-31,2024-04-25,4602000000,380158000000.0,7084000000.0
VZ,2024-06-30,2024-07-25,4593000000,379146000000.0,
VZ,2024-09-30,2024-10-25,3306000000,381164000000.0,
VZ,2024-12-31,2025-02-12,5005000000,384711000000.0,10432000000.0
VZ,2025-03-31,2025-04-25,4879000000,380364000000.0,7782000000.0
VZ,2025-06-30,2025-07-25,5003000000,383285000000.0,
VZ,2025-09-30,2025-10-29,4950000000,388331000000.0,
VZ,2025-12-31,2026-02-17,2342000000,404258000000.0,9114000000.0
