Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2026-04-01,6575.31982421875,6609.669921875,6554.2900390625,6556.56005859375,5637260000
2026-04-02,6582.68994140625,6601.91015625,6474.93994140625,6512.60986328125,4740740000
2026-04-06,6611.830078125,6618.1298828125,6579.72021484375,6587.66015625,3906440000
2026-04-07,6616.85009765625,6618.259765625,6534.5498046875,6601.93017578125,4555680000
2026-04-08,6782.81005859375,6793.5,6740.27978515625,6754.35986328125,5904880000
2026-04-09,6824.66015625,6835.31005859375,6761.5498046875,6783.68994140625,4912410000
2026-04-10,6816.89013671875,6845.77001953125,6808.4599609375,6839.240234375,4393220000
2026-04-13,6886.240234375,6887.0,6790.02001953125,6806.47021484375,4785840000
2026-04-14,6967.3798828125,6969.419921875,6905.169921875,6910.2001953125,5032380000
2026-04-15,7022.9501953125,7026.240234375,6967.1298828125,6978.169921875,5278610000
2026-04-16,7041.27978515625,7051.22998046875,7008.52001953125,7037.77978515625,5173650000
2026-04-17,7126.06005859375,7147.52001953125,7074.5498046875,7074.5498046875,6145300000
2026-04-20,7109.14013671875,7122.64990234375,7084.41015625,7117.0498046875,4661130000
2026-04-21,7064.009765625,7137.27001953125,7050.2001953125,7122.64013671875,5160270000
2026-04-22,7137.89990234375,7138.64013671875,7102.91015625,7102.91015625,4919460000
2026-04-23,7108.39990234375,7147.77978515625,7046.5498046875,7118.7998046875,5307260000
2026-04-24,7165.080078125,7168.58984375,7112.81982421875,7136.47998046875,4608830000
